video,window_index,window_start_sec,window_end_sec,selected_region,selected_method,selected_bpm,face_snr,face_quality,background_region,background_bpm,background_snr,background_snr_ratio,background_margin_score,shuffle_bpm,shuffle_snr,shuffle_drop_score,perturbation_median_dev_bpm,perturbation_stability_score,perturbation_detail,face_quality_score,window_evidence_score,flags
6.mp4,9,45.0,64.933,patch_r01_c02,chrom,91.406,50.428,6.282,bg_bottom_left,96.68,47.467,0.941,0.055,93.164,6.359,0.874,0.0,1.0,brightness_norm:91.4; drop_every_3:91.4,1.0,63.0,background_peak_competes
7.mp4,0,0.0,19.933,face_full,g_minus_r,98.438,26.331,5.428,bg_top_left,96.24,30.722,1.167,0.0,101.953,5.8,0.78,0.22,0.973,brightness_norm:98.0; drop_every_3:98.4,1.0,58.0,background_peak_competes
7.mp4,1,5.0,24.933,face_full,green,99.316,55.105,6.103,bg_top_left,99.316,24.887,0.452,0.724,187.207,6.469,0.883,0.879,0.896,brightness_norm:97.6; drop_every_3:99.3,1.0,84.3,
7.mp4,2,10.0,29.933,upper_face,green,98.877,35.61,5.968,bg_bottom_left,93.604,35.662,1.001,0.0,111.621,8.984,0.748,14.282,0.168,brightness_norm:127.4; drop_every_3:98.9,1.0,34.6,"background_peak_competes, perturbation_unstable"
7.mp4,3,15.0,34.933,face_full,g_minus_r,100.635,33.464,5.713,bg_bottom_left,91.846,19.173,0.573,0.507,129.639,9.433,0.718,0.22,0.973,brightness_norm:100.6; drop_every_3:100.2,1.0,74.7,
7.mp4,4,20.0,39.933,face_full,g_minus_r,97.559,42.23,6.058,bg_top_right,100.635,24.292,0.575,0.503,204.346,7.611,0.82,0.22,0.973,brightness_norm:98.0; drop_every_3:97.6,1.0,77.0,
7.mp4,5,25.0,44.933,face_full,g_minus_r,99.756,100.588,7.019,bg_bottom_left,123.926,33.438,0.332,1.0,137.988,9.372,0.907,0.22,0.973,brightness_norm:99.3; drop_every_3:99.8,1.0,97.0,
7.mp4,6,30.0,49.933,lower_face,pos,92.285,70.394,6.668,bg_top_right,96.68,25.816,0.367,0.913,109.863,5.13,0.927,0.22,0.973,brightness_norm:92.3; drop_every_3:91.8,1.0,94.4,
7.mp4,7,35.0,54.933,mid_face,green,94.482,26.637,5.37,bg_bottom_left,94.482,35.577,1.336,0.0,191.162,8.423,0.684,15.381,0.146,brightness_norm:125.2; drop_every_3:94.5,1.0,32.5,"background_peak_competes, perturbation_unstable"
7.mp4,8,40.0,59.933,patch_r01_c01,g_minus_r,94.043,52.566,6.493,bg_bottom_left,101.953,28.769,0.547,0.549,211.377,4.558,0.913,0.0,1.0,brightness_norm:94.0; drop_every_3:94.0,1.0,81.7,
8.mp4,0,0.0,19.933,patch_r04_c02,green,91.406,119.906,7.357,bg_bottom_left,104.59,54.702,0.456,0.714,174.902,6.065,0.949,1.538,0.825,brightness_norm:94.5; drop_every_3:91.4,1.0,83.6,
8.mp4,1,5.0,24.933,patch_r02_c01,g_minus_r,100.635,73.345,6.819,bg_top_left,107.227,62.081,0.846,0.152,150.293,9.814,0.866,0.22,0.973,brightness_norm:100.6; drop_every_3:100.2,1.0,65.5,background_peak_competes
8.mp4,2,10.0,29.933,patch_r02_c05,green,99.756,64.168,6.582,bg_top_left,104.15,30.622,0.477,0.673,155.566,7.302,0.886,0.22,0.973,brightness_norm:99.8; drop_every_3:100.2,1.0,84.8,
8.mp4,3,15.0,34.933,patch_r02_c01,g_minus_r,99.316,89.337,7.066,bg_top_left,119.971,27.532,0.308,1.0,138.428,5.478,0.939,0.0,1.0,brightness_norm:99.3; drop_every_3:99.3,1.0,98.5,
8.mp4,4,20.0,39.933,patch_r02_c01,g_minus_r,100.195,172.069,8.043,bg_top_left,119.531,25.215,0.147,1.0,181.055,6.684,0.961,0.22,0.973,brightness_norm:99.8; drop_every_3:100.2,1.0,98.3,
8.mp4,5,25.0,44.933,patch_r04_c02,green,100.195,134.563,7.65,bg_top_right,103.271,20.54,0.153,1.0,98.877,6.237,0.954,0.22,0.973,brightness_norm:99.8; drop_every_3:100.2,1.0,98.1,
8.mp4,6,30.0,49.933,patch_r05_c01,green,101.074,76.755,6.863,bg_top_right,80.42,52.689,0.686,0.342,110.303,20.115,0.738,0.659,0.921,brightness_norm:100.2; drop_every_3:100.6,1.0,67.8,
8.mp4,7,35.0,54.933,patch_r05_c04,green,94.482,30.316,5.54,bg_bottom_left,87.451,61.141,2.017,0.0,159.961,6.853,0.774,4.834,0.546,brightness_norm:99.3; drop_every_3:99.3,1.0,45.9,background_peak_competes
8.mp4,8,40.0,59.933,patch_r03_c04,green,99.316,55.225,6.477,bg_bottom_left,88.33,58.942,1.067,0.0,100.635,7.914,0.857,0.22,0.973,brightness_norm:99.3; drop_every_3:98.9,1.0,59.8,background_peak_competes
